	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Mki67	3.32905051303525e-259	3.39359634345955	0.98	0.031	1.12175686087236e-254	preDP_DPblast	SP
Pclaf	3.06751908278082e-257	3.4546478933154	0.975	0.029	1.03363123013383e-252	preDP_DPblast	SP
Top2a	1.57801505936787e-253	4.0209507228768	0.977	0.057	5.31727954404597e-249	preDP_DPblast	SP
Hmgb2	2.5235296743519e-251	4.53643161352513	1	0.54	8.50328559069615e-247	preDP_DPblast	SP
Lockd	9.17681552007614e-247	2.73999990125093	0.984	0.072	3.09221975764486e-242	preDP_DPblast	SP
Ptma	1.2917261917258e-245	1.96168042162062	1	0.997	4.35260057563927e-241	preDP_DPblast	SP
Rrm2	2.01979272683477e-245	2.58627270216307	0.949	0.019	6.80589357234244e-241	preDP_DPblast	SP
Spc24	2.35964911293017e-245	2.06783512151351	0.945	0.013	7.9510736509295e-241	preDP_DPblast	SP
Hmgb1	3.47531829839102e-240	1.96242312686241	1	0.988	1.17104325382584e-235	preDP_DPblast	SP
Hmgn2	3.96598873075225e-240	2.70815425150504	0.998	0.482	1.33637956271428e-235	preDP_DPblast	SP
Tuba1b	1.25538613896395e-239	3.00885927439412	0.989	0.257	4.23014913385292e-235	preDP_DPblast	SP
H2az1	1.18690261932861e-236	2.86804787080406	1	0.806	3.99938706608969e-232	preDP_DPblast	SP
Birc5	1.5298629363993e-236	2.75091805773468	0.931	0.025	5.15502615049107e-232	preDP_DPblast	SP
Stmn1	2.63273642626242e-236	2.50456992450607	1	0.72	8.87126866193386e-232	preDP_DPblast	SP
Malat1	1.25273328441722e-235	-2.06548082225907	0.999	1	4.22121007517227e-231	preDP_DPblast	SP
Diaph3	4.14680357635431e-227	2.2360348561724	0.918	0.025	1.39730693308835e-222	preDP_DPblast	SP
Cdca8	2.45698884088678e-226	2.12157014082715	0.904	0.018	8.27906959825208e-222	preDP_DPblast	SP
Tox	7.70526070047273e-225	-3.46377824860721	0.655	0.991	2.59636464563129e-220	preDP_DPblast	SP
Gmnn	8.61132603221908e-223	1.76343001793419	0.937	0.059	2.90167241981654e-218	preDP_DPblast	SP
Ppia	1.16710646627384e-222	1.54261309989049	1	0.988	3.93268194875632e-218	preDP_DPblast	SP
Clspn	6.56424711625244e-222	1.77559941956776	0.889	0.01	2.21188870829242e-217	preDP_DPblast	SP
Dut	8.01696178506174e-222	2.56222238319426	0.984	0.342	2.7013954430944e-217	preDP_DPblast	SP
Cenpp	8.49868826472147e-222	2.1192868697758	0.923	0.04	2.86371799768055e-217	preDP_DPblast	SP
H1f5	1.63616463512268e-221	4.90211953323259	0.97	0.205	5.51322035450939e-217	preDP_DPblast	SP
H2ac24	9.40209938059095e-221	3.77414417599608	0.924	0.084	3.16813140728393e-216	preDP_DPblast	SP
Tmpo	2.4585168981184e-220	2.08200033287786	0.996	0.428	8.28421853989976e-216	preDP_DPblast	SP
Kif15	4.36255088272084e-220	1.96180914106615	0.888	0.013	1.47000514544162e-215	preDP_DPblast	SP
Dek	2.4215765777476e-219	2.1456078118025	0.995	0.431	8.15974443637831e-215	preDP_DPblast	SP
H3c3	6.87381335984656e-219	3.58486813558653	0.883	0.019	2.3162001497339e-214	preDP_DPblast	SP
Cdk1	1.60775103238493e-218	2.04889583404882	0.88	0.01	5.41747787872426e-214	preDP_DPblast	SP
Kif11	1.90395527232804e-217	2.46140990250556	0.896	0.041	6.41556768563655e-213	preDP_DPblast	SP
H2ac8	3.32188295795514e-216	4.19039869246623	0.945	0.144	1.11934168151256e-211	preDP_DPblast	SP
Knl1	6.17240824965599e-216	2.24904727109281	0.883	0.022	2.07985468380408e-211	preDP_DPblast	SP
Tyms	7.43350416996778e-216	2.01633989194477	0.903	0.043	2.50479356511234e-211	preDP_DPblast	SP
H2ac4	1.65808522954063e-215	3.46487547426217	0.889	0.04	5.58708398946011e-211	preDP_DPblast	SP
H2ac22	6.85913851222911e-215	2.92999974965601	0.893	0.05	2.31125531308072e-210	preDP_DPblast	SP
Ncapg2	6.10439684137587e-214	1.57516193144084	0.879	0.013	2.05693755967001e-209	preDP_DPblast	SP
Fbxo5	4.94819457147052e-213	1.97686471279365	0.898	0.045	1.66734364280271e-208	preDP_DPblast	SP
Uhrf1	8.00261923210326e-212	1.69912610973799	0.915	0.059	2.69656257644951e-207	preDP_DPblast	SP
Cks2	1.98692900861753e-210	2.55956669219784	0.922	0.104	6.69515598743763e-206	preDP_DPblast	SP
Ccnb2	9.7789810363342e-210	2.00579421580046	0.854	0.009	3.29512545000317e-205	preDP_DPblast	SP
Cenpe	1.18049707928133e-209	2.18747941361355	0.859	0.015	3.97780295834635e-205	preDP_DPblast	SP
Anp32b	1.14894353893485e-208	1.70126306603369	1	0.765	3.87148014879488e-204	preDP_DPblast	SP
D17H6S56E-5	4.57803256355412e-207	1.47531295727673	0.89	0.032	1.5426138526152e-202	preDP_DPblast	SP
Nucks1	7.23805285115313e-207	1.92808786006589	0.993	0.397	2.43893428872456e-202	preDP_DPblast	SP
Cdca3	1.20413452970361e-206	1.99039770839739	0.852	0.015	4.05745171128928e-202	preDP_DPblast	SP
Cks1b	8.26748756124455e-206	1.69911142077997	0.946	0.106	2.78581260863696e-201	preDP_DPblast	SP
Tpx2	1.67090081007844e-205	2.12260997080928	0.847	0.013	5.63026736964032e-201	preDP_DPblast	SP
Ccna2	1.07923296349557e-204	1.77723554333524	0.839	0.006	3.63658339379466e-200	preDP_DPblast	SP
Neil3	1.09642435089966e-204	1.99993540891163	0.836	0.004	3.69451149279151e-200	preDP_DPblast	SP
Arap2	2.36869871053585e-204	-2.76202731710913	0.254	0.9	7.9815671750216e-200	preDP_DPblast	SP
E2f2	4.43705842223517e-203	1.66613602512526	0.954	0.114	1.49511120595636e-198	preDP_DPblast	SP
Rrm1	6.97040960853327e-203	1.58091430112488	0.924	0.084	2.34874922169137e-198	preDP_DPblast	SP
Ccdc34	3.56054627882668e-199	1.57044547707426	0.911	0.062	1.19976167411344e-194	preDP_DPblast	SP
Hint1	2.8848824233402e-198	1.74169167274751	0.981	0.331	9.72089981368715e-194	preDP_DPblast	SP
Crip1	8.0749048269576e-198	1.83168337200701	0.994	0.496	2.72091993049163e-193	preDP_DPblast	SP
H2bc11	1.03038360015802e-197	1.70280730318507	0.831	0.013	3.47198057909245e-193	preDP_DPblast	SP
Kif4	2.59862411020151e-197	1.65744045820373	0.812	0	8.75632380173502e-193	preDP_DPblast	SP
Tacc3	5.80167025998662e-197	1.49946219130161	0.825	0.01	1.95493081080509e-192	preDP_DPblast	SP
Cenpf	2.45203674956103e-196	2.60827907222971	0.831	0.023	8.26238303132086e-192	preDP_DPblast	SP
Prc1	1.370979740362e-195	2.33577918513078	0.831	0.025	4.6196533331238e-191	preDP_DPblast	SP
Lig1	1.28279481739347e-194	1.71210268305823	0.845	0.035	4.32250541668902e-190	preDP_DPblast	SP
Nsd2	2.81856608817969e-194	1.79607616065743	0.979	0.246	9.49744029073029e-190	preDP_DPblast	SP
Ndc80	3.16838614229312e-194	1.54881493719362	0.842	0.025	1.06761939450709e-189	preDP_DPblast	SP
E2f8	6.25761770782092e-194	1.40869772965038	0.803	0	2.10856686282734e-189	preDP_DPblast	SP
Tipin	6.8197929469992e-194	1.58283694611931	0.91	0.089	2.29799743142085e-189	preDP_DPblast	SP
Ube2c	7.61261074832545e-194	3.19365060154319	0.832	0.029	2.56514531775574e-189	preDP_DPblast	SP
H1f1	2.00160573790865e-193	2.4501481721189	0.869	0.081	6.74461069445698e-189	preDP_DPblast	SP
Cenpk	3.37497039299336e-193	1.23983186831241	0.826	0.013	1.13723002362304e-188	preDP_DPblast	SP
Slc9a9	1.12985127413237e-192	-2.5587220969607	0.901	0.982	3.80714685331644e-188	preDP_DPblast	SP
Smc2	1.68923109990645e-190	1.75511542956687	0.966	0.194	5.69203311424476e-186	preDP_DPblast	SP
Nusap1	2.30261910451507e-190	2.90686815931183	0.806	0.018	7.75890533457398e-186	preDP_DPblast	SP
Bub1b	2.5778784355372e-190	1.49202432730414	0.821	0.019	8.68641917638615e-186	preDP_DPblast	SP
H2az2	3.86167809443751e-190	1.820816701409	0.996	0.76	1.30123105070166e-185	preDP_DPblast	SP
Sgo1	1.37338542067223e-189	1.39509494038495	0.801	0.006	4.62775951349714e-185	preDP_DPblast	SP
Racgap1	4.83967874130682e-189	1.54576683097364	0.814	0.018	1.63077814867075e-184	preDP_DPblast	SP
Pbk	4.15092872401282e-188	1.55970908129876	0.799	0.009	1.39869694284336e-183	preDP_DPblast	SP
Asf1b	1.20740373347349e-187	1.32983404070321	0.82	0.021	4.06846762031227e-183	preDP_DPblast	SP
H2ac10	5.31314552984123e-187	2.05683072881411	0.791	0.007	1.7903175177353e-182	preDP_DPblast	SP
Prim1	2.61104190806846e-186	1.31695470125519	0.833	0.031	8.79816681342747e-182	preDP_DPblast	SP
Cenpw	9.27880705948934e-186	1.14557069211391	0.833	0.028	3.12658682676553e-181	preDP_DPblast	SP
Trac	2.00250304807018e-185	-2.25964231927407	0.672	0.96	6.74763427077729e-181	preDP_DPblast	SP
Selenoh	5.20414259463537e-184	1.55017074506654	0.904	0.12	1.75358788868833e-179	preDP_DPblast	SP
Ran	8.37769432687236e-184	1.70390626934303	0.994	0.65	2.82294788038291e-179	preDP_DPblast	SP
Spc25	5.27660739989679e-182	1.69247953430334	0.784	0.012	1.77800562946922e-177	preDP_DPblast	SP
Mir142hg	1.30273746121514e-181	-1.68754583342502	0.964	0.996	4.38970414931055e-177	preDP_DPblast	SP
Ezh2	2.29684406375634e-181	1.61400119602131	0.996	0.589	7.73944575723335e-177	preDP_DPblast	SP
Anp32e	6.05329403443591e-181	1.64101158588143	0.995	0.663	2.03971795784352e-176	preDP_DPblast	SP
Rad51ap1	1.23238669663005e-179	1.10488794128742	0.769	0.004	4.15265021296461e-175	preDP_DPblast	SP
Dlgap5	8.23568400242863e-179	1.38794724482184	0.772	0.007	2.77509608145835e-174	preDP_DPblast	SP
H4c4	8.69160903294742e-179	3.33325980425221	0.946	0.324	2.92872457974196e-174	preDP_DPblast	SP
Atad2	1.01338771247932e-178	1.79655055913362	0.94	0.192	3.41471123597033e-174	preDP_DPblast	SP
Cd28	3.22864261194045e-178	-2.23919966110111	0.748	0.947	1.08792341451945e-173	preDP_DPblast	SP
Ncapg	3.51625548881177e-178	1.19776821662888	0.766	0.004	1.18483744951001e-173	preDP_DPblast	SP
Fignl1	1.06855392916667e-177	1.0028142089303	0.769	0.006	3.60059931972003e-173	preDP_DPblast	SP
Ptprc	3.69034708761514e-177	-1.45155025516408	0.994	0.999	1.2434993546428e-172	preDP_DPblast	SP
Pola1	4.16893333042286e-176	1.99459335840561	0.839	0.079	1.40476377501929e-171	preDP_DPblast	SP
H2bc14	1.27722888086092e-175	1.31911272853716	0.754	0.001	4.30375043694896e-171	preDP_DPblast	SP
Snrpd1	5.61154778747798e-175	1.43530468782571	0.988	0.579	1.89086714246858e-170	preDP_DPblast	SP
Cd27	6.93218155243258e-175	-1.84099365935645	0.806	0.959	2.33586789590768e-170	preDP_DPblast	SP
Ect2	7.76661171370106e-175	1.72640370730984	0.801	0.04	2.61703748304871e-170	preDP_DPblast	SP
Incenp	1.4468878147011e-174	1.51579816871486	0.822	0.057	4.87543318041683e-170	preDP_DPblast	SP
Rfc4	5.07756287077667e-174	1.26679716678663	0.815	0.048	1.71093558493691e-169	preDP_DPblast	SP
Ncapd2	1.4971886614711e-173	1.33590377237938	0.911	0.117	5.044926913693e-169	preDP_DPblast	SP
Esco2	2.34256899644162e-173	1.60203784833996	0.754	0.006	7.89352049040968e-169	preDP_DPblast	SP
Depdc1a	1.13585086414098e-172	1.65467938435253	0.744	0.001	3.82736307180945e-168	preDP_DPblast	SP
H2ax	1.14579986727755e-171	2.45557167942286	0.882	0.177	3.86088723277842e-167	preDP_DPblast	SP
Slbp	1.68413072397427e-171	1.81630027899441	0.915	0.201	5.67484688750371e-167	preDP_DPblast	SP
H2bc18	2.37437378463289e-171	1.62457304386599	0.784	0.035	8.00068990469899e-167	preDP_DPblast	SP
Bub1	5.62346606318452e-171	1.23913746345027	0.738	0.001	1.89488312465066e-166	preDP_DPblast	SP
Mad2l1	2.17257893514985e-170	1.02072592212474	0.787	0.026	7.32072197988095e-166	preDP_DPblast	SP
Shcbp1	1.85903642528437e-169	1.19909813525792	0.737	0.003	6.26420913863821e-165	preDP_DPblast	SP
Dnmt1	2.13861070801985e-168	1.43090357761422	0.947	0.204	7.20626264174369e-164	preDP_DPblast	SP
Ccnf	7.1685515613267e-168	1.32575465016225	0.737	0.006	2.41551513410465e-163	preDP_DPblast	SP
Aurkb	5.62015361508777e-167	1.373159945299	0.732	0.006	1.89376696213997e-162	preDP_DPblast	SP
H2ac20	7.82602228481314e-167	2.28284066965123	0.846	0.151	2.63705646909063e-162	preDP_DPblast	SP
Ckap2l	1.64387724986726e-166	1.35298613916966	0.731	0.004	5.53920878115271e-162	preDP_DPblast	SP
Orc6	1.8040672824445e-166	1.31116089603353	0.893	0.123	6.07898511492498e-162	preDP_DPblast	SP
H2bc15	2.05267998115467e-166	1.73477861786505	0.775	0.041	6.91671046449879e-162	preDP_DPblast	SP
H2bc3	2.77205044380633e-166	1.31485520784747	0.737	0.007	9.34070117544982e-162	preDP_DPblast	SP
H1f3	1.26422797488706e-165	2.1304654739254	0.881	0.196	4.25994258417943e-161	preDP_DPblast	SP
St6gal1	5.03594803690617e-165	-2.23765969369162	0.119	0.765	1.6969130505159e-160	preDP_DPblast	SP
Cit	2.83626708973305e-164	1.09643774210989	0.725	0.004	9.55708558556448e-160	preDP_DPblast	SP
Hmmr	6.06622327346645e-164	1.83910695097192	0.725	0.009	2.04407459422726e-159	preDP_DPblast	SP
Ncaph	7.02954443248868e-164	1.04985018204204	0.783	0.034	2.36867529197139e-159	preDP_DPblast	SP
Ncapd3	5.39677763812996e-163	1.38704551598878	0.949	0.207	1.81849819294427e-158	preDP_DPblast	SP
Mis18bp1	5.77325463647581e-163	1.59319223542327	0.734	0.016	1.94535588230689e-158	preDP_DPblast	SP
Cbx5	6.57905783931949e-163	1.38198842223795	0.971	0.284	2.2168793295371e-158	preDP_DPblast	SP
Nap1l1	3.21471549368198e-162	1.53617344215645	0.963	0.362	1.08323053275108e-157	preDP_DPblast	SP
Anln	9.86129396589875e-162	1.29567948710049	0.716	0.004	3.32286161474924e-157	preDP_DPblast	SP
Lmnb1	2.10133060543329e-161	1.41133907712213	0.995	0.516	7.08064360806803e-157	preDP_DPblast	SP
Tmsb4x	2.1054894712043e-161	-1.37840827900573	0.998	1	7.09465732217001e-157	preDP_DPblast	SP
H3c6	3.26480844939535e-161	1.66385868192218	0.793	0.07	1.10010985510826e-156	preDP_DPblast	SP
H3c2	9.86088324203751e-161	1.26852158680768	0.707	0.001	3.32272321723696e-156	preDP_DPblast	SP
Hells	1.95432898033978e-160	1.66405417807478	0.754	0.034	6.58530693215292e-156	preDP_DPblast	SP
H3c11	3.02917629352175e-160	1.44928207915683	0.759	0.038	1.02071124386509e-155	preDP_DPblast	SP
Wdr76	1.59316697216249e-159	1.26072669308155	0.864	0.103	5.36833542939874e-155	preDP_DPblast	SP
Kif18a	4.40894795035006e-158	1.35999017123426	0.746	0.028	1.48563910134996e-153	preDP_DPblast	SP
Cenph	5.65923941448189e-157	0.917813239786759	0.715	0.01	1.90693731310382e-152	preDP_DPblast	SP
Bard1	1.70672191275223e-156	0.981759826570301	0.771	0.038	5.7509701572099e-152	preDP_DPblast	SP
Sgo2a	2.29873704456622e-156	1.1768774539738	0.697	0.003	7.74582434537033e-152	preDP_DPblast	SP
Ccr9	2.58336369972513e-156	-2.33296788023136	0.68	0.918	8.7049023225938e-152	preDP_DPblast	SP
Kif22	3.63872527434269e-156	1.24387310470319	0.766	0.041	1.22610486844251e-151	preDP_DPblast	SP
Camk4	1.22331429017818e-154	-1.65575197088039	0.98	0.981	4.12207983218441e-150	preDP_DPblast	SP
Cdc20	4.64081194561878e-154	1.49541925542123	0.714	0.018	1.56376799319571e-149	preDP_DPblast	SP
H1f4	8.31178485788999e-154	2.63227456439186	0.912	0.343	2.80073902571461e-149	preDP_DPblast	SP
Cox8a	8.7610628260628e-154	1.14421726748829	0.993	0.793	2.95212772987012e-149	preDP_DPblast	SP
Rnaseh2b	1.31077465162854e-153	0.994413038498722	0.847	0.085	4.41678626612753e-149	preDP_DPblast	SP
Tnik	1.40437504933376e-153	-2.17823073467206	0.577	0.894	4.73218216623504e-149	preDP_DPblast	SP
Tubb5	5.39149077803223e-153	1.46986356560863	1	0.864	1.81671673256574e-148	preDP_DPblast	SP
Mcm3	5.48206607907229e-153	1.41195697485471	0.78	0.066	1.8472369860042e-148	preDP_DPblast	SP
Pcna	6.37770423225157e-153	1.97023688540221	0.907	0.305	2.14903121809949e-148	preDP_DPblast	SP
Rad51	8.32520476331778e-153	0.995937773132576	0.72	0.019	2.80526099704756e-148	preDP_DPblast	SP
Cip2a	9.19715155941792e-153	0.976920220968662	0.69	0.004	3.09907218946146e-148	preDP_DPblast	SP
Stil	1.05167333980883e-152	0.974285099930883	0.696	0.007	3.54371848581984e-148	preDP_DPblast	SP
Mxd3	1.38945383154063e-152	1.19047139187325	0.683	0.001	4.6819036307593e-148	preDP_DPblast	SP
Tespa1	5.14095210781912e-152	-1.80233108432306	0.759	0.935	1.73229522225073e-147	preDP_DPblast	SP
Rbm3	5.48314874984657e-152	1.23643227460586	0.996	0.746	1.8476018027483e-147	preDP_DPblast	SP
Siva1	7.66090704933462e-152	1.42316990086185	0.824	0.119	2.58141923934379e-147	preDP_DPblast	SP
Cenpa	1.51116050149468e-150	1.82789870909678	0.792	0.1	5.09200642583647e-146	preDP_DPblast	SP
Cd5	3.76336960818405e-150	-2.49863627914586	0.347	0.833	1.2681050231737e-145	preDP_DPblast	SP
Plk4	4.34318547365785e-150	0.914074242469803	0.782	0.053	1.46347977720375e-145	preDP_DPblast	SP
Cdc45	4.99238900792836e-150	0.859494802814343	0.693	0.01	1.68223540011154e-145	preDP_DPblast	SP
Usp1	6.04881393671419e-150	1.21258432210583	0.939	0.207	2.03820834411521e-145	preDP_DPblast	SP
Prkcq	1.63137364580224e-149	-1.94269544719796	0.685	0.922	5.49707663689524e-145	preDP_DPblast	SP
Tk1	2.24721019953171e-149	0.940754892467019	0.682	0.007	7.57219948834206e-145	preDP_DPblast	SP
Tmsb10	3.40247371941281e-149	-2.6820357380631	0.94	0.965	1.14649754449334e-144	preDP_DPblast	SP
Hirip3	1.0707602528952e-148	0.985769858661162	0.758	0.05	3.60803374815566e-144	preDP_DPblast	SP
Cd52	3.69109288468593e-148	-1.74307276658684	0.584	0.918	1.24375065842377e-143	preDP_DPblast	SP
Ly6e	1.40216656037476e-147	1.27891613693636	0.999	0.74	4.7247404418388e-143	preDP_DPblast	SP
Cep55	4.57138332292294e-147	0.971281991235208	0.667	0.003	1.54037332449211e-142	preDP_DPblast	SP
Mcm5	6.44845218690137e-147	1.09677428198641	0.772	0.059	2.17287044889828e-142	preDP_DPblast	SP
Hmgn5	6.85209549162379e-147	1.12978472648682	0.864	0.123	2.30888209685755e-142	preDP_DPblast	SP
Cenpm	8.69384947006098e-147	0.80445592542354	0.669	0.004	2.92947951743175e-142	preDP_DPblast	SP
H2bc4	2.76412984450921e-146	1.16253689716554	0.798	0.075	9.31401192405824e-142	preDP_DPblast	SP
Brip1	4.70057300811266e-146	1.11578633534488	0.743	0.04	1.58390508081364e-141	preDP_DPblast	SP
Emp3	7.1351148766371e-146	1.26891102869773	0.937	0.204	2.40424830883164e-141	preDP_DPblast	SP
Lsm5	2.3869125438531e-145	1.17808076135178	0.989	0.396	8.04294050776739e-141	preDP_DPblast	SP
H4c8	8.53119839339831e-145	1.67858672719938	0.853	0.18	2.87467261063949e-140	preDP_DPblast	SP
Arhgap11a	1.02071179586033e-144	1.04025782834795	0.695	0.021	3.43939046733096e-140	preDP_DPblast	SP
Gimap6	2.74177163341906e-144	-2.09177890393543	0.388	0.824	9.23867369596886e-140	preDP_DPblast	SP
Cd3d	3.37488377555089e-144	-1.1949302064114	0.985	0.997	1.13720083700963e-139	preDP_DPblast	SP
Dnajc9	4.62632690422947e-144	1.18501396904254	0.908	0.195	1.55888711364916e-139	preDP_DPblast	SP
Ccnb1	7.45917762386914e-144	1.31744228662953	0.678	0.013	2.51344449213894e-139	preDP_DPblast	SP
Ska1	1.60522187130723e-143	0.87832069212548	0.658	0.003	5.40895561755686e-139	preDP_DPblast	SP
Ranbp1	1.85482460635087e-143	1.48726303343387	0.967	0.465	6.2500169935599e-139	preDP_DPblast	SP
H3c7	2.5563276648802e-143	1.35403621198138	0.704	0.034	8.61380169958031e-139	preDP_DPblast	SP
Zfp367	3.17946068181732e-143	1.04973225381268	0.755	0.053	1.07135107134517e-138	preDP_DPblast	SP
Knstrn	4.7551950272628e-143	0.999056660580219	0.682	0.016	1.60231051638647e-138	preDP_DPblast	SP
Kif23	9.77096987749161e-143	1.40596650615249	0.787	0.098	3.29242600991957e-138	preDP_DPblast	SP
Nuf2	3.12393367618745e-142	0.881354405318201	0.65	0.001	1.05264069152812e-137	preDP_DPblast	SP
Cdkn2c	5.48348493349377e-142	1.28423155628922	0.828	0.125	1.84771508319006e-137	preDP_DPblast	SP
Cmc2	1.94119385204822e-141	1.01779350387682	0.845	0.116	6.54104680386167e-137	preDP_DPblast	SP
Kif20b	2.53883009163072e-141	1.25668782800445	0.771	0.075	8.55484187675889e-137	preDP_DPblast	SP
Lsm2	4.79011857612296e-141	1.15270597278444	0.954	0.262	1.61407835541039e-136	preDP_DPblast	SP
Mms22l	1.90798755868352e-140	1.07813423778692	0.813	0.097	6.42915487773998e-136	preDP_DPblast	SP
Kntc1	3.71526990578316e-140	0.839356927219385	0.647	0.003	1.25189734745269e-135	preDP_DPblast	SP
Hivep2	8.81019930123115e-140	-1.87115621019124	0.869	0.94	2.96868475654285e-135	preDP_DPblast	SP
H2bc6	2.18134717049327e-139	1.42847099753241	0.861	0.179	7.35026742569412e-135	preDP_DPblast	SP
Snrpg	5.96538500844776e-139	1.03655092219645	0.998	0.836	2.01009613244656e-134	preDP_DPblast	SP
Fam111a	1.86564470190108e-138	0.948045025022968	0.676	0.021	6.28647638752589e-134	preDP_DPblast	SP
Rpa3	3.06011971549294e-138	1.13435113254594	0.942	0.242	1.0311379393325e-133	preDP_DPblast	SP
Chaf1a	3.91592951244555e-138	0.831352412765124	0.651	0.009	1.31951160851365e-133	preDP_DPblast	SP
Dhfr	6.42996084222621e-138	0.995138346305833	0.654	0.012	2.16663960539654e-133	preDP_DPblast	SP
Pgls	7.56575291422635e-138	1.11764708781419	0.909	0.198	2.54935610197771e-133	preDP_DPblast	SP
Rmi2	2.09671654289256e-137	0.937062790024695	0.817	0.094	7.06509606293076e-133	preDP_DPblast	SP
H2ac6	1.15010085991471e-136	1.11007472317801	0.761	0.073	3.87537985756859e-132	preDP_DPblast	SP
H2ac15	1.67338091540682e-136	0.98108185903498	0.702	0.038	5.63862433255481e-132	preDP_DPblast	SP
Snrpf	4.5478458967909e-136	1.11703369488547	1	0.736	1.53244215338266e-131	preDP_DPblast	SP
H4c9	6.9864866250451e-136	0.877951189568612	0.738	0.054	2.3541665331752e-131	preDP_DPblast	SP
Fkbp2	1.10286117769094e-135	0.90125651422652	0.845	0.116	3.71620102434738e-131	preDP_DPblast	SP
Brca1	1.27016203408081e-135	0.978984550117059	0.667	0.021	4.2799379900387e-131	preDP_DPblast	SP
Atad5	2.22747404067213e-135	1.04243393824582	0.806	0.097	7.50569652744881e-131	preDP_DPblast	SP
Tubb4b	6.0365602908044e-135	1.76348136421078	0.918	0.306	2.03407935558945e-130	preDP_DPblast	SP
Arhgap15	7.52396911431458e-135	-1.76258680261879	0.979	0.977	2.53527663275944e-130	preDP_DPblast	SP
Cep128	9.60758959747413e-135	1.16366989978603	0.84	0.132	3.23737339076488e-130	preDP_DPblast	SP
H2ac13	1.52398473998207e-134	0.930794033068938	0.676	0.026	5.13521897984358e-130	preDP_DPblast	SP
Hmgb3	2.23420086011123e-134	0.975079539417575	0.804	0.1	7.5283632182308e-130	preDP_DPblast	SP
Mcm7	6.27929230802669e-134	1.16002732668302	0.914	0.233	2.11587033611267e-129	preDP_DPblast	SP
Ckap2	9.29309946939505e-134	1.00678289194947	0.657	0.018	3.13140279720736e-129	preDP_DPblast	SP
2700099C18Rik	6.87429161642949e-133	0.87940855762572	0.648	0.016	2.31636130307208e-128	preDP_DPblast	SP
Alyref	1.01460839757212e-132	1.24494686968739	0.951	0.449	3.41882445645902e-128	preDP_DPblast	SP
Rpl28	3.61840780250473e-132	0.891191441236187	1	0.996	1.219258693132e-127	preDP_DPblast	SP
Syce2	3.86900303325816e-132	0.799543114245066	0.616	0.001	1.30369926208667e-127	preDP_DPblast	SP
Ulbp1	7.49933327673669e-132	0.988099683172784	0.735	0.062	2.52697534092919e-127	preDP_DPblast	SP
Kif24	2.72726845034647e-131	0.877571185172392	0.659	0.022	9.18980377028746e-127	preDP_DPblast	SP
Dctpp1	2.91296483018727e-131	1.08086012800017	0.758	0.087	9.81552629179902e-127	preDP_DPblast	SP
Plk1	4.48955218955024e-131	1.03211810913753	0.617	0.004	1.51279950579085e-126	preDP_DPblast	SP
H2ac11	1.10299285352773e-130	0.785971473382921	0.614	0.003	3.71664471924705e-126	preDP_DPblast	SP
Ccdc18	6.93471150559689e-130	0.970808493030862	0.662	0.028	2.33672038892593e-125	preDP_DPblast	SP
H4c3	1.03751878298286e-129	1.15462687210052	0.728	0.072	3.49602329113906e-125	preDP_DPblast	SP
Rad54b	2.54180716632718e-129	0.747710532681648	0.61	0.003	8.56487342765607e-125	preDP_DPblast	SP
Ska2	1.29169492187597e-128	1.10382714576865	0.854	0.154	4.35249520875328e-124	preDP_DPblast	SP
Laptm5	2.11408145312252e-128	-1.36492237265767	0.91	0.924	7.12360886444165e-124	preDP_DPblast	SP
Rad51b	2.72988566298365e-128	1.42525445605553	0.652	0.031	9.19862272998971e-124	preDP_DPblast	SP
Ttk	6.10969925701657e-128	0.910500652745707	0.598	0	2.0587242616443e-123	preDP_DPblast	SP
Mns1	8.11371930146488e-128	1.31871242956839	0.961	0.306	2.73399885582161e-123	preDP_DPblast	SP
Hnrnpa3	8.31907899436574e-128	0.829667797085359	1	0.978	2.80319685794148e-123	preDP_DPblast	SP
Kifc1	2.78820444399545e-127	0.846623420948978	0.624	0.013	9.39513369448705e-123	preDP_DPblast	SP
Zwilch	5.72242490258565e-127	0.738555975433461	0.639	0.019	1.92822829517526e-122	preDP_DPblast	SP
Aspm	4.91763760809716e-126	1.11989678412303	0.611	0.01	1.65704716842442e-121	preDP_DPblast	SP
Cdca2	7.13482250623759e-126	0.9489640990108	0.618	0.013	2.40414979170182e-121	preDP_DPblast	SP
Cenps	1.96276475406417e-125	0.717886147909681	0.602	0.006	6.61373211529462e-121	preDP_DPblast	SP
Mcm6	2.53697119497805e-125	1.3580608120649	0.783	0.152	8.54857813859802e-121	preDP_DPblast	SP
Pmf1	2.5591807264878e-125	0.703895750884949	0.688	0.043	8.6234153759733e-121	preDP_DPblast	SP
Hpf1	2.97762156596798e-125	1.09923264281857	0.951	0.308	1.00333936286857e-120	preDP_DPblast	SP
Ube2t	3.24827740380853e-125	0.822362548393915	0.731	0.067	1.09453955398732e-120	preDP_DPblast	SP
Kif14	1.25244320741051e-124	0.983919740675124	0.602	0.007	4.22023263169046e-120	preDP_DPblast	SP
Trdc	1.30518335945199e-124	1.43672152707169	0.713	0.078	4.39794584800941e-120	preDP_DPblast	SP
H2bc8	4.19450336848151e-124	0.855236325983833	0.688	0.048	1.41337985504353e-119	preDP_DPblast	SP
